imagen,id_callo,area_px,area_mm2,centroide_x,centroide_y,circularidad
p100.png,1,4923.0,12.308,348,93,0.398
p100.png,2,7062.0,17.655,226,115,0.346
p100.png,3,7593.0,18.983,43,124,0.531
p100.png,4,6522.0,16.305,357,254,0.492
p100.png,5,7015.0,17.538,213,261,0.551
p100.png,6,891.0,2.228,43,270,0.712
p100.png,7,8170.0,20.425,357,385,0.425
p100.png,8,5564.0,13.910,195,367,0.434
p100.png,9,6176.0,15.440,77,389,0.573
p101.png,1,7857.0,19.643,375,93,0.505
p101.png,2,6590.0,16.475,64,100,0.494
p101.png,3,7760.0,19.400,196,111,0.528
p101.png,4,5443.0,13.607,357,245,0.495
p101.png,5,6640.0,16.600,226,247,0.574
p101.png,6,3778.0,9.445,65,270,0.725
p101.png,7,6796.0,16.990,244,351,0.474
p101.png,8,6583.0,16.457,95,379,0.518
p101.png,9,5221.0,13.053,355,383,0.556
p102.png,1,6142.0,15.355,210,52,0.455
p102.png,2,6194.0,15.485,358,62,0.455
p102.png,3,5916.0,14.790,53,70,0.628
p102.png,4,6379.0,15.947,226,220,0.517
p103.png,1,3936.0,9.840,377,72,0.408
p103.png,2,5262.0,13.155,91,88,0.560
p103.png,3,3182.0,7.955,378,215,0.499
p103.png,4,6514.0,16.285,63,249,0.482
p103.png,5,2455.0,6.138,228,238,0.508
p103.png,6,5987.0,14.968,352,366,0.542
p103.png,7,7344.0,18.360,226,384,0.593
p103.png,8,2448.0,6.120,65,387,0.416
p110.png,1,6271.0,15.678,46,71,0.549
p110.png,2,4082.0,10.205,47,189,0.393
p110.png,3,2396.0,5.990,213,220,0.522
p110.png,4,2832.0,7.080,341,245,0.284
p110.png,5,2375.0,5.938,347,343,0.302
p110.png,6,2385.0,5.963,230,363,0.288
p111.png,1,15435.0,38.587,78,134,0.246
p111.png,2,7760.0,19.400,348,68,0.384
p111.png,3,4041.0,10.103,204,83,0.456
p111.png,4,6740.0,16.850,176,190,0.505
p111.png,5,6257.0,15.643,343,213,0.436
p111.png,6,6369.0,15.923,69,337,0.464
p111.png,7,5995.0,14.988,332,335,0.531
p111.png,8,6420.0,16.050,211,369,0.381
p112.png,1,5887.0,14.718,219,83,0.536
p112.png,2,7373.0,18.433,356,96,0.529
p112.png,3,1950.0,4.875,67,69,0.268
p112.png,4,3889.0,9.723,375,222,0.641
p112.png,5,4563.0,11.408,232,225,0.571
p112.png,6,6263.0,15.658,375,349,0.587
p112.png,7,5827.0,14.568,86,362,0.492
p113.png,1,7285.0,18.213,89,98,0.535
p113.png,2,5880.0,14.700,407,106,0.376
p113.png,3,1883.0,4.708,286,120,0.236
p113.png,4,7348.0,18.370,381,231,0.546
p113.png,5,4504.0,11.260,82,357,0.533
p113.png,6,16850.0,42.125,301,379,0.307
p120.png,1,16423.0,41.057,342,140,0.260
p120.png,2,7618.0,19.045,66,89,0.438
p120.png,3,6013.0,15.033,190,88,0.581
p120.png,4,4218.0,10.545,191,214,0.449
p120.png,5,6248.0,15.620,70,234,0.484
p120.png,6,6669.0,16.672,87,330,0.459
p120.png,7,7024.0,17.560,360,338,0.591
p120.png,8,327.0,0.818,442,319,0.556
p120.png,9,6221.0,15.553,221,357,0.461
p121.png,1,5792.0,14.480,78,93,0.483
p121.png,2,4919.0,12.297,203,84,0.567
p121.png,3,5051.0,12.627,353,94,0.561
p121.png,4,1246.0,3.115,63,209,0.686
p121.png,5,979.0,2.448,197,207,0.696
p121.png,6,3193.0,7.982,337,220,0.559
p121.png,7,3505.0,8.763,207,354,0.513
p121.png,8,6054.0,15.135,51,363,0.520
p121.png,9,7243.0,18.108,337,358,0.561
p122.png,1,3549.0,8.873,114,78,0.494
p122.png,2,5471.0,13.678,377,88,0.577
p122.png,3,5062.0,12.655,233,88,0.404
p122.png,4,7862.0,19.655,380,193,0.527
p122.png,5,5024.0,12.560,107,219,0.503
p122.png,6,5424.0,13.560,251,229,0.343
p122.png,7,6365.0,15.912,383,331,0.582
p122.png,8,4625.0,11.562,248,334,0.580
p122.png,9,5981.0,14.953,109,347,0.449
p130.png,1,5001.0,12.502,336,103,0.390
p130.png,2,6999.0,17.497,52,112,0.493
p130.png,3,10158.0,25.395,206,165,0.251
p130.png,4,6447.0,16.117,331,240,0.508
p130.png,5,4200.0,10.500,60,234,0.427
p130.png,6,8396.0,20.990,210,367,0.535
p130.png,7,6117.0,15.293,361,368,0.562
p130.png,8,7187.0,17.968,75,364,0.466
p131.png,1,6761.0,16.902,361,103,0.583
p131.png,2,5937.0,14.843,89,96,0.456
p131.png,3,5744.0,14.360,216,108,0.590
p131.png,4,4231.0,10.578,381,201,0.486
p131.png,5,6570.0,16.425,202,236,0.454
p131.png,6,5673.0,14.183,84,228,0.539
p131.png,7,6612.0,16.530,226,330,0.577
p131.png,8,6775.0,16.938,361,344,0.595
p131.png,9,4682.0,11.705,77,368,0.467
p132.png,1,5643.0,14.107,93,94,0.635
p132.png,2,4249.0,10.623,321,116,0.406
p132.png,3,3247.0,8.117,93,254,0.312
p132.png,4,2543.0,6.357,94,355,0.513
p133.png,1,12873.0,32.182,139,97,0.330
p133.png,2,9345.0,23.363,341,104,0.555
p133.png,3,8509.0,21.273,54,222,0.442
p133.png,4,8867.0,22.168,206,221,0.527
p133.png,5,1883.0,4.708,337,224,0.558
p133.png,6,16133.0,40.333,135,363,0.328
p133.png,7,7816.0,19.540,335,376,0.468
